SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chrysiogenetes	Clostridia	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Hydrogenophilalia	Kiritimatiellae	Limnochordia	Mollicutes	Negativicutes	Oligoflexia	Opitutae	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Thermodesulfobacteria	Thermoleophilia	Thermotogae	Tissierellia	Verrucomicrobiae	Zetaproteobacteria
ERR1624566	0.0	0.0	0.0	2.9738728341594913	0.41583157986091956	0.0	0.0	2.9518544260858106	3.259023581836501	2.1431469570884905	0.0	0.0	0.0	0.0	3.9985440124374856	2.685697534273472	0.2558925093194588	0.0	0.0	0.0	1.487069716021606	0.0	0.8704374008894076	3.3073030817596143	0.0	0.0	1.8741139406656155	0.0	0.0	0.0	0.0	0.6243116134802399	2.645040643915876	0.0	0.0	0.0	0.41583157986091956	0.2558925093194588	0.0	0.0	0.0	0.0	0.41583157986091956	0.6243116134802399	0.0
ERR1624567	0.0	0.0	0.0	2.630189869619421	0.8167915178096131	0.0	0.0	3.402934486636286	3.291460142362318	1.601061326538884	0.0	0.0	0.3246241417613546	0.0	3.9236832808004274	2.850043206346674	0.0	0.0	0.9953405540016795	0.0	1.1215029828483096	0.0	2.2010031373529517	3.3230998300170804	1.7933806117638893	1.188973158354627	2.520042115398931	0.0	0.0	0.0	0.0	0.9435748900229495	1.8713954900626286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8847933441171307	0.6369873149487763	0.0
ERR1624568	0.0	0.0	0.0	3.073246510058379	1.6550354830596077	0.0	0.0	2.8379249546141	3.5996686843495462	1.8523761912236791	0.0	0.0	0.3616683323549017	0.0	3.8740923396456743	2.7378822375677543	1.3383560423194538	0.3616683323549017	0.3616683323549017	0.0	1.8108006268255636	0.0	1.409831939096329	2.4355802427988738	1.2200091497477974	1.252753632028346	3.3354529554300063	0.0	0.0	0.0	0.0	0.5562264668624433	1.764819512562471	0.3616683323549017	0.0	0.0	1.0042265175488767	2.2434294215656445	0.7923033908136103	0.0	0.0	0.0	0.0	0.9443893559557747	0.0
ERR1624569	0.0	0.0	0.0	2.2020567787572936	1.3704467064228754	0.0	0.0	3.6398241602387333	3.249166502725073	2.174564740514414	0.0	0.0	0.0	0.0	3.6416674672339973	2.076250267731468	0.0	0.2959628548155769	0.0	0.2959628548155769	1.7458616760544814	0.0	0.5944369358430108	2.4195965215508966	0.0	0.7696728697003807	3.7089733619752088	0.0	0.0	0.0	0.690833955901947	0.2959628548155769	2.5972863895132883	0.0	0.0	0.0	0.0	0.0	0.690833955901947	0.0	0.0	0.0	0.2959628548155769	1.2691020387713967	0.0
ERR1624570	0.0	0.0	0.0	3.30253722212209	1.469274724313844	0.0	0.0	3.646970270967919	3.307204785865088	1.73126292004067	0.0	0.0	0.37205982352292266	0.0	3.833345290756199	2.8334006015456117	0.0	0.0	0.0	0.0	0.5694613944810198	0.0	1.120520081999843	2.321655486729478	0.0	0.0	2.5260513412732855	0.0	0.0	0.0	0.9605774243116068	1.0206767765949798	2.1802591892988374	0.0	0.0	0.0	0.37205982352292266	1.5591847915101327	0.0	0.0	0.0	0.0	1.120520081999843	1.0206767765949798	0.0
ERR1624571	0.0	0.0	0.0	3.175059054510138	0.5204732151835398	0.0	0.0	3.577371315117899	3.1173004569823934	1.6530532787902599	0.0	0.0	0.0	0.0	3.7677308885412226	2.991832400550569	0.0	0.0	0.0	0.0	1.315483969566531	0.0	0.9591475362905661	1.9548427140340172	0.0	2.6431343169000314	3.341771304016181	0.0	0.0	0.0	0.0	0.0	2.7818949332422553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6505388782228504	0.6505388782228504	0.0
ERR1624572	0.0	0.0	0.0	3.1146619512783964	1.0104875835903135	0.0	0.0	3.3494406676884743	3.6532823645346646	2.1729261927286143	0.0	0.3335587285850866	0.0	0.0	3.8204034427951714	2.9133536827443667	0.0	0.0	0.0	0.0	2.435454124539707	0.0	0.5199731141688475	2.338942283877721	0.0	1.3608869301229616	2.59537281481535	0.0	0.0	0.0	0.5199731141688475	0.3335587285850866	1.9758902285075395	0.6499828314828151	0.0	0.0	0.3335587285850866	0.0	0.3335587285850866	0.0	0.0	0.0	0.5199731141688475	2.2877510668538803	0.0
ERR1624573	0.0	0.0	0.0	3.009753321251282	0.6180680779555774	0.0	0.0	3.942379191298733	3.0137480768494043	2.3515326300565413	0.49137952660106266	0.0	0.0	0.0	3.4151332706699025	3.197003442953244	0.0	0.31176734443474674	0.0	0.0	0.9217096472596926	0.0	0.0	2.550071059685979	0.0	0.6180680779555774	1.9074373592916498	0.0	0.0	0.0	0.0	0.31176734443474674	3.0625894847055313	0.0	0.0	0.0	0.31176734443474674	0.0	0.6180680779555774	0.0	0.0	0.0	1.1335632971171836	0.0	0.0
ERR1624574	0.0	0.0	0.0	3.4809744951449333	0.2864270594260978	0.0	0.0	2.890446263930454	3.3187993301004384	2.091092829569931	0.7535328993520334	0.0	0.0	0.2864270594260978	3.712309292627551	2.887303253441374	0.0	0.0	1.3333488922670493	0.0	1.7190228357868504	0.2864270594260978	0.0	3.6514431334620783	0.0	1.2025402045357674	2.003994397608164	0.2864270594260978	0.0	0.0	0.45753948156191104	0.45753948156191104	2.3264472918728396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8197553858940577	0.0	0.0
ERR1624575	0.0	0.0	0.0	2.7818721290569823	0.6699159476714984	0.0	0.0	2.4645480470091994	3.392111044202441	2.0318806449304043	0.3474241027123285	0.0	0.0	0.0	4.081029045232459	2.275308495567969	0.0	0.0	0.0	1.0802417556769177	0.8529317681373376	0.0	2.09183645255933	2.81078952257816	0.0	0.0	1.3853230789596744	0.0	0.0	0.0	0.0	1.0335788145679383	2.4381981073424415	1.196059648767998	0.0	0.3474241027123285	0.0	0.0	0.0	0.0	0.0	0.0	0.9812918178082726	0.5379404503674936	0.0
