Absconditabacteriales_(SR1)	Actinomycetales	Aeromonadales	Aphagea	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Blastocatellales	Campylobacterales	Caulobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gastranaerophilales	Holosporales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes_RF39	Mycoplasmatales	Oceanospirillales	Pasteurellales	Pseudomonadales	Rhizobiales	Rhodospirillales	Rickettsiales	Salinisphaerales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Synergistales	Verrucomicrobiales	Victivallales	Xanthomonadales	others	BioProject	sample_alias	env_material	Timepoint	prepost	PatientID
SRR13357742	0	0.498187195817546	0	0	0	3.16792629138221	2.64499622170834	3.37580283293144	0	0	0	0	4.45470183404701	0	0	0	3.04989935470815	0	0	0	0.625688754418143	0	0	3.38029739944258	0	0	0	0	0	0	0	0	0	0	0	3.38551495407788	0	0	0	0	0	0	0.724129232609912	PRJNA514452	P10.Fc.3	fecal	3	1	P10
SRR13357740	0	0	0	0	0.595643019089428	1.67284446063388	2.04840362392975	3.59920153372551	0	0	0	0	2.44170261789107	0	0	0	2.36985693675721	0	0	0	1.37199482060659	0	0	4.04664893935445	0	0	0	0	0	0	0	0	0	0	0	4.36056477563694	0	0	0	0	0	0	0	PRJNA514452	P10.Fc.6	fecal	6	1	P10
SRR13358144	0	0.754705147273103	0	0	0	4.45319067734499	1.88055463379406	1.84328556293992	0	0	0	0	3.92406860364406	0	0	2.61621373638257	1.87153289283821	2.36276278809496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64325254583912	0	0	0	2.80807559134531	0	0	0.754705147273103	PRJNA514452	P11.Fc.0	fecal	0	0	P11
SRR13358143	0	0	0	0	1.33318960240429	4.45280609300401	1.6930483014881	1.88024430399323	0	0	0	0	3.78896639497695	1.11663153071358	0	2.36950867912359	1.919856360281	2.77742353288717	0	0	0	0	0	1.40073536888998	0	0	0	0	0.533536078197458	0.847594756512319	0	0	2.94768682996778	0	0	3.16337796979254	0	0	0	2.8901873169068	0	0	0	PRJNA514452	P11.Fc.1	fecal	1	1	P11
SRR13358142	0	1.08655849126134	0	0	1.48659813651177	3.56581555714106	0	3.45902118883322	0	1.38148178813703	0	0	1.45764545141993	0	0	0	4.21564709523831	0	0	0	0	0	0	3.47215140176376	0	0	0	0	0	0	0	0	0	0	0	2.66933583201813	0	0	0	4.08736492603466	0	0	0	PRJNA514452	P11.Fc.3	fecal	3	1	P11
SRR13358141	0	1.02288512498335	0	0	3.19272948126644	3.69338604574535	2.31914458847354	1.99473968625656	0	2.43222429508695	0	0	3.66025464411478	1.2478969677035	1.43517475383854	0	4.37033043994019	2.21271580731764	0	0.761216470068158	1.92677679818828	0	0	2.5401594330474	0	1.68757713130817	0	0	1.11147592683569	3.07075364305334	2.19324305595702	0	0	0	1.2478969677035	3.18939345591292	1.43517475383854	0	0	0.911467114924696	0	0	0	PRJNA514452	P11.Fc.6	fecal	6	1	P11
SRR13357755	0	0.873917038672313	0	0	0	3.94344421305026	0	2.70135876078733	0	0.455074069858644	0	0	3.87856160993581	0	0	0	1.3104978430833	2.57510660652667	0	0	0.873917038672313	0	0	2.37824948040169	0	0	0	0	0	0.577176515665459	0.455074069858644	0	0	0	0	2.57510660652667	0	0	0	4.31950804560219	0	0	0	PRJNA514452	P12.Fc.0	fecal	0	0	P12
SRR13357754	0	0	0	0	0	4.22813013719112	2.47993586947776	1.84670727833828	0	0	0	0	4.3208002381246	0	0	1.98517744993434	1.38177585939458	1.81499781643128	0	0	0	0	0	0.965917315655675	0	0	0	0	0	0.830694822205099	0	0	0	0	0	2.49850757559087	0	0	0	0	0	0	1.17657960539208	PRJNA514452	P12.Fc.6	fecal	6	1	P12
SRR13357721	0	0	0	0	0	4.4078915297185	0	0	0	0	0	0	4.06857822165193	0	0	0	1.07017022828726	2.19866338679843	0	0	0	0	0	1.89445889002062	0	0	0	0	0	0	0	0	0	0	0	3.0764572389811	0	0	0	0	0	0	1.02849900564167	PRJNA514452	P13.Fc.0	fecal	0	0	P13
SRR13357720	0	0	0	0	0	4.44397039492874	0	0	0	0	0	0	3.3265369153977	0	0	0	3.94173458335	1.83805955014042	0	0	0	0	0	0.991885551737312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRJNA514452	P13.Fc.1	fecal	1	1	P13
SRR13357719	0	0	0	0	0	4.10805677076512	0	0	0	2.06675442160914	0	0	3.74115259344138	0	0	0	3.48991529189721	1.62686726720288	0	0	2.20774736257931	0	0	1.84633847180595	0	0	0	0	0	0	0	0	0	0	0	3.63684971272843	0	0	0	4.10018424435791	0	0	0	PRJNA514452	P13.Fc.3	fecal	3	1	P13
SRR13357718	0	0	0	0	0	4.33798562306174	0	0	0	1.18108067980497	0.359547849216499	0	3.65702565316289	0	0	0	3.19919815183726	1.34752483397407	0	0	1.30807878948962	0	0	1.99812420399686	0	0	0	0	0	0	0	0	0	0	0	3.08655555744263	0	0	0	3.97617577947469	0	0	0	PRJNA514452	P13.Fc.6	fecal	6	1	P13
SRR13357713	0	0	0	0	0	4.07280796547117	3.14734570626029	2.79396227632409	0	0	0	0	4.34735471725628	1.85104784964855	0	0	2.16362764477131	3.15180069889273	0	0	0.975161660399218	0	0	1.97814244036988	0	0	0	0	0	0	0	0	0	0	0	2.95525882985561	0	0	0	0	0	0	0	PRJNA514452	P14.Fc.0	fecal	0	0	P14
SRR13357712	0	0	0	0	0	4.51997686248034	2.77756285912328	0	0	0	0	0	3.55567391282472	0	0	0	3.07511561516276	0	0	0	0.753373437125488	0	0	1.86993815239578	0	0	0	0	0	0	0	0	0	0	0	2.2239259887751	0	0	0	0	0	0	0	PRJNA514452	P14.Fc.1	fecal	1	1	P14
SRR13357711	0	0	0	0	0	4.53012848249629	1.75830277347146	0	0	0	0	0	3.44770490777153	0.428326068663873	0	0	3.20475047956385	0	0	0	1.13382157128488	0	0	1.75188669000966	0	0	0	0	0	0	0	0	0	0	0	2.4941802213214	0	0	0	0	0	0	0	PRJNA514452	P14.Fc.3	fecal	3	1	P14
SRR13357710	0	0	0	0	0.506394939383534	4.51875111487017	2.44039817989159	0	0	0	0	0	3.17745555617382	0.78921170146218	0	1.96871372734956	3.18336625980268	1.05344480295404	0	0	2.55495917005342	0	0	1.70820744945899	0	0	0	0	0	0	0	0	0	0	0	3.20464183342007	0	0	0	2.47280173926884	0	0	0	PRJNA514452	P14.Fc.6	fecal	6	1	P14
SRR13357706	0	1.07536706468375	0	0	0	3.79385150175567	2.4405909863399	1.46003984342824	0	0	0	0	4.35109323910346	1.91438418353373	0	2.77302947214445	0	2.86389943732773	0	0	0	2.00115459463416	0	1.69392506992573	0	0	0	0	0	0	0.665739537834284	0	0.534169202511899	0	0	3.24639528584575	0	0	0	3.8059360963991	0	0	1.64914285865267	PRJNA514452	P15.Fc.0	fecal	0	0	P15
SRR13357705	0	0	0	0	0	4.1996170472439	3.01452591082442	0.842876041595096	0	0	0	0	4.26286133772706	0.970811049413067	0	0	1.11154995911957	2.65960321370785	0	0	0	1.45386353531525	0	2.07151318172743	0	0	0	0	0	0	0	0	3.02589891327168	0	0	3.26799363564771	0	0	0	0	0	0	1.11154995911957	PRJNA514452	P15.Fc.6	fecal	6	1	P15
SRR13357700	0	0	0	0	0	1.9187777751839	2.00028204507905	0	0	0	0	0	4.47817271496929	0	0	0	3.73811334689599	3.23381667246549	0	0	1.22786910812518	0	0	2.77923917496328	0	0	0	0	0	0	0	0	0	0	0	2.83314805820091	0	0	0	0	0	0	0.537321385835226	PRJNA514452	P16.Fc.0	fecal	0	0	P16
SRR13357699	0	0	0	0	0	4.32213236398435	0.530650942216802	1.71485250877443	0	0	0	0	4.23073437982445	0	0	0	2.0662794719788	2.57262928649434	0	0	0.446404047051669	0	0	1.81707031989292	0	0	0	0	0	0	0	0	0	0	0	2.08803450448378	0	0	0	0	0	0	0	PRJNA514452	P16.Fc.1	fecal	1	1	P16
SRR13357698	0	0.503099599573588	0	0	0	4.47273509156624	1.6972007565705	0.834196458817308	0	0	0	0	3.57776536665442	0	0	0	3.14660511191036	2.22662860582126	0	0	3.51100492325242	0	0	1.42309548387437	0	0	0	0	0	0	0	0	0	0	0	2.56074094204845	0	0	0	0	0	0	0	PRJNA514452	P16.Fc.3	fecal	3	1	P16
SRR13357697	0	1.75199779978342	0	0	0.892927889362249	2.37043253044468	2.45378979527897	2.67769953698768	0	0.469400359869961	0	0.593364261409984	4.33303440521463	1.8273865028397	1.0308298082832	0	3.97937221085316	3.71769557535096	0	0	0.768478492319327	0	0	2.75181488857002	0	0	0	0	0	0	0.689688321331054	0	0	0	0	2.87204341427211	0	0	0	0	0	0	0	PRJNA514452	P16.Fc.6	fecal	6	1	P16
SRR13357692	0	1.22067961164705	0	0.594292937377063	1.03196006364411	4.08523618831013	0.836209979954897	1.80268780656496	0	0	0	0	4.36147499893794	2.07960332002252	0	1.89283412272589	1.87056464196322	3.40375416300726	0	0	0.594292937377063	0	0	1.40499023525365	0	0	0	0	0	0	0	0	1.13649102744888	0	0	2.80520657192793	0	0	0	0.594292937377063	0	0	0.470224098315025	PRJNA514452	P17.Fc.0	fecal	0	0	P17
SRR13357691	0	0.669295303298969	0	0	0	4.37620506786016	3.15018110835202	0.957774344075807	0	0	0	0.392328823881626	4.07234238156158	0	0	0.595034608923865	2.25547676272663	2.7880631468805	0	0	1.05213004543085	0	0	1.25239016921719	0	0	0	0	0	0	0	0	0	0	0	2.94425680760469	0	0	0	1.25239016921719	0	0	0.392328823881626	PRJNA514452	P17.Fc.1	fecal	1	1	P17
SRR13357690	0	0.589124183714185	0	0	0	4.49434860859049	3.1982474345377	1.46397482069427	0	0	0	0	3.41899336896474	0	0	0	2.76855762463173	2.13046737391055	0	0	0	0	0	1.76291567901521	0	0	0	0	0	0	0	0	0	0	0	3.40035119419924	0	0	0	0	0	0	0	PRJNA514452	P17.Fc.3	fecal	3	1	P17
SRR13357689	0	1.48383640414386	0	0	1.14506230964588	2.05298769025023	3.9434919889082	3.18862388542584	0	0	0	0	4.12765380533581	1.01826726395906	0	0	3.56007318121491	3.48181704962879	0	0	1.99489759800335	0	0	2.83095617548866	0	0	0	0	0	0	1.01826726395906	0	0	0	0	3.8681747524829	0	0	0	0.838439412503581	0	0	0	PRJNA514452	P17.Fc.6	fecal	6	1	P17
SRR13357685	0	0	0	0	0	4.00369938975378	1.5539973600176	1.08052313429856	0	0	0	0	4.34245044048262	0.431045290588216	0	2.63407327697561	3.44028531456704	2.15981601743769	0	0	0.549865005283003	0	0	1.82199668307724	0	0	0	0	0	0	0	0	1.87427247104981	0	0	3.48439171844318	0	0	0	1.82751666580892	0	0	1.23378772016338	PRJNA514452	P18.Fc.0	fecal	0	0	P18
SRR13357684	0	0.760355417992575	0	0	0	4.27960860117287	2.65620892415826	0.760355417992575	0	0	0	0	4.2229578782656	0	0	2.5663235557796	1.34123833713159	2.78136413421562	0	0	0	0	0	1.55891748964891	0	0	0	0	0	0	0.826782883857126	0	2.44549843158529	0	0	2.81045794008724	0	0	0	2.75601931169226	0	0	0.586076917276496	PRJNA514452	P18.Fc.1	fecal	1	1	P18
SRR13357683	0	0	0	0	0.425311590767603	4.35350793625151	2.99793461354223	1.00623025944747	0	0	0	0	3.95456381481163	0	0	2.24446674752607	1.56521771124019	2.06341516404334	0	0	0	0	0	1.3998156388525	0	0	0	0	0	0	0	0	2.55242950759988	0	0	3.06966395181722	0	0	0	3.63083159442333	0.636013166731205	0	0.425311590767603	PRJNA514452	P18.Fc.3	fecal	3	1	P18
SRR13357681	0	0.708496093184514	0.92425822562091	0	0	4.31177844332254	2.85658419517195	1.00190439464456	0	0	0	0	3.86733226311854	0.964814268749298	0	2.63859850205765	3.32947342077184	2.00209437561781	0	0	2.70328662938051	0	0	0	0	0	0	0	0	0	0	0	3.56665185512967	0	0	3.29394725283631	0	0	0	3.11120127500709	0.708496093184514	0	0.422319581529578	PRJNA514452	P18.Fc.6	fecal	6	1	P18
SRR13357679	0	1.100960426752	0	0	0	4.42190558502325	0.591541112091762	0	0	0	0	0	3.90242576104222	0.591541112091762	0	0	3.58449270985432	1.50486490114638	0	0	0	0	0	1.75701198261169	0	0	0	0	0.591541112091762	0	0	0	0	0	0	2.58364876848562	0	0	0	0	0	0	0	PRJNA514452	P19.Fc.0	fecal	0	0	P19
SRR13357678	0	0	0	0	0	4.38001556642474	0.682625159100153	0	0	0	0	0	3.79573759537613	0	0	0	1.83508142091247	1.96045131326733	0	0	0.866810940489433	0	0	1.95435895636506	0	0	0	0	0	0.866810940489433	0	0	0	0	0	3.11121207448544	0	0	0	3.84174442581908	0	0	0	PRJNA514452	P19.Fc.1	fecal	1	1	P19
