SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Bacteroidetes	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Chrysiogenetes	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Firmicutes	Fusobacteria	Gemmatimonadetes	Kiritimatiellaeota	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
ERR1624576	0.0	3.5363418992506634	0.0	3.3678396967510293	0.0	0.0	0.43027569235068663	2.9316586722205185	0.0	0.43027569235068663	1.2105645106781324	0.0	0.0	3.9933880273993596	1.1627421373047526	0.0	0.0	2.5934404264112976	0.0	0.6421169349882421	0.43027569235068663	0.0	0.0	1.3927921579177507
ERR1624577	0.0	3.3016604232910445	0.0	3.6228907692246763	0.0	0.0	1.1650965920325915	0.0	0.0	1.2675914577281808	0.0	0.0	0.0	4.014498432240766	0.0	0.0	0.0	2.5421256567772432	0.2951746307506862	0.2951746307506862	0.6895631483804636	0.0	0.0	0.46929642582340203
ERR1624578	0.0	3.4740582438444347	0.0	3.1462237726929696	0.0	0.0	0.0	0.5936566954469578	0.0	0.29544590349844796	0.0	0.0	0.0	4.094236094365846	0.0	0.0	0.0	2.0533152276292532	0.0	0.4696597282900927	0.7688041383810825	0.0	0.0	0.0
ERR1624579	0.0	3.015536737758375	0.0	3.6499177494359913	0.0	0.0	0.625545845827526	0.4980594163507512	0.0	1.1426732900803336	0.0	0.0	0.0	4.031341375356966	0.0	0.0	0.0	2.7988869607962807	0.0	0.4980594163507512	0.3168274919368556	0.0	0.0	1.4100016991693918
ERR1624580	0.0	3.5038912584371102	0.0	2.502401756655997	0.0	0.0	0.0	0.0	0.0	0.2800456974894962	0.0	0.0	0.0	4.117647473772658	0.2800456974894962	0.0	0.0	2.472977518779162	0.0	0.664890533524055	0.2800456974894962	0.0	0.0	0.5701906538816603
ERR1624581	0.0	3.2738067094992083	0.0	3.547220273198605	0.0	0.0	0.0	2.165318306220292	0.0	0.9915614666111869	0.0	0.0	0.0	4.034035736444396	0.3923325771556155	0.0	0.9211474395903746	2.683479815187523	0.0	0.9915614666111869	0.9915614666111869	0.0	0.0	1.6535777046890856
ERR1624582	0.4477161008418019	2.946827520296837	0.27916487957061487	3.7711598722376225	0.0	0.0	1.4039540522567804	1.7118140508080708	0.0	1.0007810966603095	0.27916487957061487	0.0	0.0	3.9750615064934207	0.4477161008418019	0.0	0.0	2.757958501963553	0.0	0.27916487957061487	0.5688351533917773	0.0	0.0	1.487977934252144
ERR1624583	0.0	3.541869425247261	0.0	3.1926958707808746	0.0	0.0	0.0	0.0	0.0	0.5910979417624318	0.29375279203458854	0.0	0.0	4.070292088169255	0.0	0.0	0.0	2.0499082430768847	0.0	0.4673909642571194	0.5910979417624318	0.0	0.0	0.9412197326361148
ERR1624584	0.0	3.631372099352623	0.0	3.175186655172012	0.0	0.2557740229060222	0.2557740229060222	0.0	0.0	1.5196074148356042	0.2557740229060222	0.0	0.0	4.0314276019043565	0.2557740229060222	0.0	0.0	2.489956582170833	0.0	0.0	0.0	0.0	0.0	1.7508438787708043
ERR1624585	0.0	3.725973208960368	0.0	3.6653124851352517	0.0	0.0	0.0	0.5363080926687029	0.0	0.7690843852968527	0.0	0.0	0.0	3.6031790178563075	0.34615902225376227	0.0	0.0	3.4705072620271022	0.0	0.34615902225376227	0.5363080926687029	0.34615902225376227	0.0	0.0
