SAMPLE_ID	Acidimicrobiia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermoleophilia	Thermomicrobia	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria
SAMPLE-28	0.33856724860428683	0.0	3.3155827886435514	1.4673615826842705	0.0	0.0	0.0	3.495962491178088	3.0894735195688976	0.6572153896449057	0.0	0.0	0.0	0.0	0.0	0.6572153896449057	0.33856724860428683	0.0	0.0	0.33856724860428683	4.285679975356434	0.0	3.7819369623494357	0.5264829897337251	0.0	0.0	0.5264829897337251	0.0	0.0	2.9226391418725077	0.0	0.0	0.0	0.33856724860428683	1.909971990003297	0.0	2.5504323699351006	0.0	0.0	1.0653931179311467	0.0	0.33856724860428683	2.6992957738574948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33856724860428683	0.0	0.0	0.0	0.0	0.966793490103452	2.6836474778732544	0.0
SAMPLE-29	0.0	0.0	2.5379106464781573	0.0	0.37589961245431813	0.0	0.0	3.7844003438736205	3.0942664865641105	0.37589961245431813	0.0	0.0	0.0	0.0	0.710021930417342	0.0	0.0	0.0	0.0	0.0	4.148489361284576	0.0	3.6791306545150935	0.37589961245431813	0.0	0.0	2.3835477343542424	0.0	0.37589961245431813	3.249544508561815	0.0	0.0	0.0	0.0	1.8688995328945834	0.0	0.37589961245431813	0.0	0.0	0.0	0.37589961245431813	0.5743301774999059	1.9075450394899893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37589961245431813	0.0	0.0	0.0	0.0	0.0	0.0	0.710021930417342	3.7315226116753166	0.0
SAMPLE-3	0.0	0.0	2.375304770634611	1.1909327151213824	0.3655129184261796	0.0	0.0	3.4971504569146874	3.864578627987175	1.6976209760727126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1999711443975265	0.0	3.053982276584144	0.3655129184261796	0.0	0.0	2.2721637962470975	0.0	0.0	2.8890764018333166	0.0	0.0	0.0	1.1523290801221124	2.7831465747785007	0.0	2.187902537644976	0.0	0.0	0.5611331668060224	0.0	0.5611331668060224	3.526605346509323	0.0	0.0	0.0	0.0	0.0	0.3655129184261796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6955166634653862	3.0991440603289133	0.0
SAMPLE-30	0.0	0.0	3.4634333495362997	1.0617804206447365	0.0	0.0	0.0	2.8802798580990903	2.10497994117743	1.4194416435302697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.360092601620186	0.0	3.198161925722752	0.0	0.0	0.0	0.4921651568076877	0.0	0.0	3.6561411195481885	0.0	0.0	0.0	0.0	2.6319156646674577	0.0	2.7324496934882845	0.0	0.0	0.0	0.0	0.4921651568076877	2.139479630283445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4921651568076877	0.0	0.0	0.0	0.0	0.0	0.0	1.0617804206447365	2.132795462920215	0.0
SAMPLE-31	0.0	0.0	3.8313880293179627	0.8522462554857624	0.0	0.0	0.0	3.054295392326531	2.2643584946943256	1.9095013205468878	0.0	0.0	0.0	0.0	0.9281559872002019	0.22519923022554633	0.0	0.0	0.0	0.0	4.302551469159995	0.22519923022554633	2.8694528476356793	0.3727553110649409	0.22519923022554633	0.0	0.8918575340271637	0.0	0.7601977652811308	3.071153678249575	0.22519923022554633	0.22519923022554633	0.0	0.0	2.606368015546689	0.0	2.9800590164361926	0.0	0.0	0.0	0.0	0.0	3.3216992425180982	0.0	0.0	0.0	0.0	0.0	0.22519923022554633	0.0	0.0	0.4826911145939603	0.4826911145939603	0.0	0.22519923022554633	0.0	0.0	2.24127609776677	2.442334218110606	0.0
SAMPLE-32	0.0	0.0	2.6161403053974244	0.9600801845029194	0.0	0.0	0.0	3.558619605251668	3.237006988312198	2.5828859730075013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.304323337717957	0.48150685094797907	0.0	4.325063169246477	0.0	3.00698946923949	0.0	0.0	0.0	1.7773035128839325	0.0	0.304323337717957	2.699395606864242	0.0	0.0	0.0	1.7388350377345034	3.2846257956605793	0.304323337717957	1.9932664870176833	0.0	0.0	0.0	0.0	0.304323337717957	2.226630751772889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48150685094797907	0.0	0.0	0.0	0.0	0.0	1.1200039938175854	3.474463626969859	0.0
SAMPLE-33	0.0	0.0	1.8639677524452618	1.6477627447620251	0.0	0.0	0.0	2.6722267467470564	2.257286838999279	0.7932776690596314	0.0	0.0	0.0	0.0	0.2715574485777129	0.2715574485777129	0.2715574485777129	0.0	0.0	0.0	4.417996030380082	0.0	3.3896423607657007	0.4373626512497836	0.2715574485777129	0.0	0.2715574485777129	0.0	0.0	3.4477275390729316	0.4373626512497836	0.0	0.2715574485777129	0.0	1.147108834508364	0.2715574485777129	3.2061154314765483	0.0	0.0	0.0	0.7278570479775739	0.8501214597135622	2.3541338188009604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2715574485777129	0.0	0.0	0.0	0.0	0.0	0.0	1.497029084737402	0.0
SAMPLE-34	0.0	0.0	2.628990083070771	1.615838973746451	0.0	0.0	0.0	2.6321412076448936	2.7301032179135563	1.5451965254813786	0.0	0.0	0.0	0.0	0.0	0.6126977894478354	0.0	0.0	0.0	0.6126977894478354	4.309363031000607	0.0	3.9145466098993733	0.0	0.6126977894478354	0.0	1.1269994599636906	0.0	0.6126977894478354	3.0736779043203986	0.0	0.0	0.0	0.6126977894478354	2.241931056880973	0.0	1.5451965254813786	0.0	0.0	0.0	2.2644685137743066	0.0	3.355356892608649	0.6126977894478354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6126977894478354	0.0	0.6126977894478354	0.0	0.0	0.0	1.8590260374262093	1.958451301142654	0.0
SAMPLE-35	0.0	0.0	3.7591702891889045	0.4668527357338457	0.0	0.0	0.0	3.4376756653194818	3.4485523407998806	2.1914285628214913	0.0	0.0	0.0	0.0	0.0	0.4668527357338457	0.0	0.0	0.0	0.29335145757475234	4.263144844657668	0.0	2.8240055923358574	0.29335145757475234	0.0	0.0	1.675022616445849	0.0	0.0	2.776220849258899	0.29335145757475234	0.0	0.29335145757475234	1.2863227480911972	3.2464895372631046	0.0	1.4763749841777192	0.0	0.0	0.6866183218996791	2.733495696114382	0.6866183218996791	2.813188017278961	0.0	0.0	0.0	0.0	0.29335145757475234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4668527357338457	0.4668527357338457	0.0
SAMPLE-36	0.0	0.0	3.352295187411836	1.1571482133927669	0.30699866164084544	0.0	0.0	2.2049060305666885	3.551932129491543	2.1323417291095006	0.0	0.0	0.0	0.0	0.30699866164084544	0.0	0.30699866164084544	0.0	0.30699866164084544	0.9134819296725549	4.37119801870688	0.0	2.8379137588425385	0.0	0.0	0.0	1.8040594160705041	0.0	0.0	2.7957407552084352	0.30699866164084544	0.0	0.0	0.0	1.7359115468935753	0.0	2.2422365289894253	0.0	0.0	0.30699866164084544	2.428452105895932	0.7084808884112771	3.0777993453179495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6109825084221107	0.0	0.0	0.0	0.0	0.0	2.9240641537250025	2.7426169485419605	0.0
