SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia
SAMPLE-34	0.0	3.9353090035881193	0.0	0.6114935893994706	2.731011204245019	0.0	0.0	0.0	0.0	0.8558627217570556	0.0	1.0112959749968966	0.6114935893994706	0.0	0.0	2.262883729628589	0.0	4.386198457897327	0.6114935893994706	0.0	1.5436485488972302	0.0	0.0	0.0	2.420724842212907	0.6114935893994706	0.0	2.3998723296306412	0.0	0.0	1.9568754003362527
SAMPLE-35	0.0	3.8095350183446217	0.0	0.2946617837898924	3.452109699042744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.736154879422871	0.2946617837898924	4.351682841826818	1.288849444757117	0.0	1.4789503809737146	0.0	0.0	0.0	3.296379375081644	0.0	0.0	0.688735555792894	0.0	0.0	0.592472310471136
SAMPLE-36	0.0	3.471045602312546	0.0	0.9155657751363189	3.554554584396551	0.0	0.308202840082895	0.308202840082895	0.0	0.7103903712063289	0.0	0.0	0.0	0.0	0.0	2.430816013458733	0.308202840082895	4.423299035578215	0.0	0.0	2.244595712845247	0.0	0.0	0.0	2.4274748559853987	0.6127753163824283	0.0	0.7103903712063289	0.0	0.0	2.744985399037151
SAMPLE-37	0.0	2.376687272094162	0.0	0.0	1.5581956551990537	0.0	0.3020046486252959	0.0	0.3020046486252959	0.0	0.0	0.3020046486252959	0.0	0.0	0.0	0.0	0.3020046486252959	4.5240912318130055	0.0	0.0	2.7815403875438385	0.0	0.0	0.3020046486252959	1.2571116837767808	0.6035211517438811	0.0	0.0	0.0	0.0	0.7005284008773042
SAMPLE-38	0.0	3.6157460644101245	0.0	0.0	1.2871589757034787	0.0	0.9327099634269859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.449164110557164	0.9843167319647516	0.0	2.7437453563306593	0.0	0.0	0.0	3.17133811372261	0.0	0.0	0.31820221462364395	0.0	0.0	0.627570230115726
SAMPLE-39	0.0	3.9512300784946515	0.0	0.8283469047875993	3.3310376528614056	0.0	1.598924209657185	0.0	0.0	0.7243871514020379	0.3862824018731281	0.9121651944160566	0.0	0.0	0.0	0.0	0.3862824018731281	4.282150930508278	2.7538476141252564	0.0	1.6709982970794621	0.0	0.0	0.0	3.509765207444572	0.0	1.2931242123823365	2.2272514268961294	0.0	0.0	1.1431420914790067
SAMPLE-4	0.0	3.0521886688845417	0.0	0.0	3.056251537126734	0.0	0.0	0.0	0.3138488243959895	0.6211490836252169	0.0	0.9767763573402818	0.0	0.0	0.0	2.4549311241591263	0.0	4.181696393799508	0.3138488243959895	0.0	2.4334141741658617	0.0	0.0	0.0	3.8490665843524323	0.0	0.8668469206554503	3.2919587964878323	0.0	0.0	3.862033586344836
SAMPLE-40	0.0	4.112092004752758	0.0	0.0	2.4470666896241138	0.0	0.4887833288002694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.303181621828249	0.0	0.0	2.392054203973128	0.0	0.0	0.0	2.8752893777475053	0.0	0.0	0.4887833288002694	0.0	0.0	1.0572190524688965
SAMPLE-41	0.0	3.6351806836618517	0.0	0.48104634594887485	3.306249556644804	0.0	0.0	0.0	0.37134331643836954	0.0	0.0	0.0	0.0	0.37134331643836954	1.1411098644473439	1.1411098644473439	0.37134331643836954	4.439969165344707	0.0	0.0	2.180960512413506	0.0	0.0	0.0	2.4224925645658266	0.48104634594887485	0.0	0.48104634594887485	0.0	0.0	0.48104634594887485
SAMPLE-42	0.0	4.013547270052593	0.0	0.760885886957511	1.4712461679359363	0.0	0.0	0.0	0.0	0.0	0.0	1.3418509535828278	0.29075335717794076	0.0	0.0	2.016819588628596	0.29075335717794076	4.3596992049488525	0.29075335717794076	0.0	2.7449027459459985	0.0	0.0	0.29075335717794076	1.4113498987312398	0.29075335717794076	0.0	0.0	0.0	0.0	2.582395150846083
