SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Caldiserica	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR11292156	1.3666806256859774	2.1917227622496243	0.0	0.5680423240458926	4.128820977695633	0.0	0.0	0.0	0.0	0.0	0.7575952045570842	0.8891114441094804	0.7031161927337409	0.849538875544917	0.0	0.5680423240458926	0.0	0.80599566242377	0.0	0.0	0.0	1.3790961891986793	4.586485011029359	0.7031161927337409	0.3709423820487734	2.610468857062963	0.0	0.0	0.925377392386041	3.198946985062737	0.7575952045570842	0.7031161927337409	2.46905188525971	0.0	0.6408095469972667	2.0207660730065897	3.9141789491178574
SRR11292157	0.0	3.5780744576522685	0.0	0.0	4.220188604021735	0.0	0.0	0.0	0.0	0.2825506915955139	0.4523032202434731	0.0	0.6690135193229454	0.4523032202434731	0.0	0.4523032202434731	0.0	0.0	0.0	0.0	0.4523032202434731	0.8129206133386158	4.6222701026029	0.4523032202434731	0.0	0.9661493816851634	0.0	0.0	0.0	2.726464080240152	0.0	0.4523032202434731	1.0791891074625584	0.0	0.2825506915955139	0.2825506915955139	1.410785476410606
SRR11292158	0.33548002560544654	2.3985191513311066	0.0	0.0	4.315023312141818	0.7528502826346208	0.0	0.0	0.0	0.0	0.7528502826346208	0.33548002560544654	0.5224730023212621	0.0	0.0	0.5224730023212621	0.0	0.0	0.0	0.0	0.0	0.0	4.591293318298995	0.33548002560544654	0.0	2.5504650469174255	0.0	0.0	0.5224730023212621	3.28328690132743	0.5224730023212621	0.5224730023212621	2.4760606240398877	0.0	0.33548002560544654	0.6527616648570617	2.5644821702037404
SRR11292159	0.7686079201806281	2.410718507673518	0.0	0.0	4.45980490067778	0.0	0.0	0.0	0.0	0.4188309666738632	0.6280203612890876	0.0	0.0	0.8746435284874933	0.0	0.4188309666738632	0.0	0.4188309666738632	0.0	0.0	0.0	0.6280203612890876	4.50895405511392	0.7686079201806281	0.0	2.399625952555784	0.0	0.0	0.4188309666738632	3.0552311031541115	0.0	0.0	0.6280203612890876	0.0	0.0	0.6280203612890876	2.0273815300384954
SRR11292160	1.1047552322795262	2.0592361503669094	0.0	0.0	4.60488737915345	0.2387962976991908	0.0	0.0	0.0	0.0	0.7322285171823337	0.0	0.0	0.8806374762092481	0.0	1.42577353267133	0.0	0.3919898887441643	0.0	0.0	0.0	0.2387962976991908	3.9589881196043755	4.005649532853986	0.0	1.4012057839093357	0.0	0.0	0.0	3.4876612103099074	0.5946095159980125	0.2387962976991908	0.7322285171823337	0.5050105589866517	0.0	0.0	2.1139647633947676
SRR11292161	0.0	2.882313193100717	0.0	0.0	4.1416227519791065	0.0	0.0	0.0	0.0	0.0	1.067796930921402	0.2766441924995334	0.5649478145261986	0.9959833240512388	0.0	0.8594719870907015	0.0	0.44429277282858176	0.0	0.0	0.0	0.8594719870907015	4.629142640688789	0.6592671815514324	0.0	2.368281691685217	0.0	0.0	0.44429277282858176	3.319386858016449	0.2766441924995334	0.7367127048723169	1.6410585278321486	0.0	0.44429277282858176	0.6592671815514324	3.5168180289670756
SRR11292162	0.5847387004004804	1.9501298310671114	0.0	0.0	4.665861863604886	0.0	0.0	0.0	0.5847387004004804	0.0	0.6804690227541919	0.0	0.46175902172716443	1.4089954702540957	0.0	1.6847862199836507	0.0	0.7588620243523249	0.0	0.0	0.9336363550472206	0.28955956488007956	4.041619630098172	2.164423743403293	0.6804690227541919	1.3395130557839152	0.0	0.46175902172716443	0.0	3.7112321393742937	0.0	0.6804690227541919	0.9791299800518385	1.182358231000589	0.0	0.28955956488007956	1.4826437156839067
SRR11292163	0.9901633163982423	3.150656688966111	0.0	0.0	4.393283213193977	0.2383816897727241	0.0	0.0	0.0	0.2383816897727241	1.1511881165468076	0.2383816897727241	1.0780963182565177	2.4989650125917486	0.0	1.1511881165468076	0.879785833572547	0.7867060897121085	0.0	0.5043365366729715	3.0871896501014158	1.103851493012546	4.3800229220092	1.800467369081022	0.0	2.603189329224805	0.0	0.9197772753505581	0.39140703698565954	3.949599807706132	2.496946758858807	2.117861145440135	1.8480476869753795	0.5043365366729715	0.5043365366729715	1.717617354153733	3.080380611214202
SRR11292164	0.6740085728654583	2.1155478795561953	0.0	0.0	4.589522080288581	0.5095296875021882	0.0	0.24158251745664228	0.0	1.0575910303947378	0.24158251745664228	0.0	0.24158251745664228	1.0850110978999685	0.0	1.292336230911882	0.0	0.0	0.0	0.0	0.9969377298869642	0.0	4.26448346320148	2.6593614013297655	0.0	2.01261718226616	0.0	0.0	0.7930225717083212	3.5734277100712273	0.8863385530738732	0.24158251745664228	2.9752366788442757	1.0575910303947378	0.0	0.0	2.2787827634415696
SRR11292165	0.21833709757466468	2.250491413118915	0.0	0.0	4.542808377351943	0.0	0.0	0.0	0.0	0.0	0.876935993399806	0.946399915747283	0.21833709757466468	0.5578653372277637	0.0	1.4228611831049518	0.0	0.0	0.0	0.0	1.0333701943578721	0.876935993399806	4.393698164089173	1.8546121298879317	0.21833709757466468	1.8506288751971907	0.0	0.0	0.3629514035063614	3.401159968847254	0.21833709757466468	1.2853513004491741	0.8375379913064331	0.746066583006979	0.0	0.3629514035063614	2.489505929853341
